,Country Code,GNI 2010,GNI 2011,GNI 2012,GNI 2013,GNI 2014,GNI 2015,GNI 2016,GNI 2017,GNI 2018,GNI 2019,POP GROWTH 2010,POP GROWTH 2011,POP GROWTH 2012,POP GROWTH 2013,POP GROWTH 2014,POP GROWTH 2015,POP GROWTH 2016,POP GROWTH 2017,POP GROWTH 2018,POP GROWTH 2019,2010 Total:,2011 Total:,2012 Total:,2013 Total:,2014 Total:,2015 Total:,2016 Total:,2017 Total:,2018 Total:,2019 Total:
0,AFG,510,530,630,650,630,590,550,530,510,520,2.74661463795293,3.14310555651301,3.40760003260595,3.49459192739625,3.35560233082199,3.07705362914441,2.77803478841236,2.54783303994568,2.38430907940751,2.31307334941778,68.96605,66.94454,68.25744,72.18289,68.05715,67.2032,64.00314,61.77561,70.25405,62.48616
1,ALB,4360,4410,4360,4540,4540,4390,4320,4290,4860,5230,-0.49646196338738,-0.269017331764615,-0.165151040121679,-0.183211384606402,-0.207046999760594,-0.291205786840436,-0.159880412127734,-0.0919722937442495,-0.246732042281782,-0.426007367032238,21.9487,22.9965,21.70175,19.77038,19.13142,18.98271,18.14981,19.00622,19.75808,16.27997
2,DZA,4470,4600,5200,5520,5490,4850,4370,3950,3980,4010,1.80500474736452,1.88330858570333,1.95146367479529,2.00270360530766,2.03358715504452,2.0453720881528,2.05135237337878,2.04490931275225,2.00739866314238,1.93398334424168,21.27312,21.55503,22.75584,21.19187,22.63854,22.49486,23.05572,23.32959,22.72761,22.68313
3,AND,..,..,..,..,..,..,..,..,..,46040,-0.008288192290815,-0.839471761400757,-1.58992366767347,-2.03074436920753,-1.94651826894114,-1.55213476921424,-0.898980862435393,-0.38628103925755,0.0142852505031622,0.179041785311253,11.42903,11.66004,10.79727,10.14877,9.34741,9.94171,9.06227,9.30733,9.21394,8.52423
4,AGO,3220,3370,4080,4670,4830,3920,2480,2010,1900,2070,3.67149333263444,3.63415021537353,3.59775453949706,3.55199742692341,3.49744741099259,3.43886936840162,3.37826943218091,3.32215836256296,3.2761445879162,3.24291402840967,24.1984,24.67357,24.0083,24.53186,24.11941,25.03078,26.0812,25.44195,25.85236,27.16477
5,ATG,12690,12370,12780,12620,12760,12850,13580,14320,15880,16420,1.47279415442432,1.37637551869337,1.28802773688723,1.2126557898666,1.14304343305706,1.08418161589205,1.00909459019292,0.952914631258636,0.894078681398432,0.861445783881833,8.16597,7.79362,8.19812,8.05258,8.49694,8.89159,8.9538,9.26532,8.86972,8.29693
6,ARG,9270,10710,11890,12870,12350,12600,12220,13140,12430,11260,0.752217992640236,1.15305928006386,1.13690569378967,1.11910919999772,1.09946109101836,1.07800134449604,1.05718157762752,1.03713389686514,1.01580834908002,0.993397493293046,13.13748,13.22056,12.94834,14.01846,13.56491,14.18288,13.93109,13.23692,12.60073,12.04087
7,ARM,3470,3530,3880,4110,4140,4010,3760,3950,4240,4660,-0.373954889662394,-0.0270427628367578,0.26742945492201,0.461930535014127,0.509812126446043,0.450705991935445,0.361260408326477,0.293899005891436,0.235799808401976,0.202624027586126,40.89928,46.45905,45.89738,42.84965,40.55938,40.58537,40.0427,37.75576,37.0863,34.12674
8,AUS,46690,50380,60260,66050,65180,60490,54090,51480,53070,54910,1.55548958906995,1.38952731561803,1.74582000067359,1.721151439989,1.49156648912847,1.43921665259925,1.56194049810399,1.68452310845434,1.53610551570388,1.52165367749095,9.03381,8.0759,7.31418,7.25562,6.91137,6.6018,6.6731,6.88756,7.10973,8.93323
9,AUT,49750,50700,50100,50720,50390,47480,46240,45040,49010,51010,0.240394299500766,0.337080841831645,0.45593747231891,0.589387254692989,0.781541632525841,1.12099250236958,1.08139629872802,0.694621103604983,0.487071924768999,0.444673639004876,15.62129,15.98621,14.24784,13.98012,12.98472,13.62845,12.27973,12.31771,12.67567,11.50796
10,AZE,5410,5570,6480,7450,7740,6610,4790,4110,4080,4510,1.18978770786007,1.30300085487651,1.32876382733755,1.29344702700591,1.24820899735588,1.19120985807018,1.11785721013911,0.98126180450475,0.866316916370841,0.846646726414021,30.1081,33.92017,33.58166,31.35332,29.929,29.66727,28.84057,27.47704,26.96124,24.64286
11,BHS,28290,27900,28590,27600,28180,28810,28930,30580,31070,32420,1.51478477511973,1.30075351976794,1.10570789821922,0.980106184007713,0.93876021994633,0.959964408799924,0.990005732547738,1.00728534144547,1.01280016721917,0.993659489537656,4.96926,4.91879,5.28044,5.07954,5.31808,5.32066,5.55845,5.80244,5.61226,5.19903
12,BHR,18970,18160,22010,23790,24070,22580,21570,21250,22000,22230,4.60018474525212,2.96081559234807,1.69035809880424,1.15390705309184,1.5875995721769,2.64276663660774,3.85657694585171,4.67804747089484,4.92102429600582,4.4686878342058,55.87221,54.68996,54.40328,52.80459,50.11634,56.37947,52.90089,54.71749,54.49085,51.81722
13,BGD,800,890,970,1040,1110,1220,1430,1670,2040,2250,1.1248068966134,1.14382867124819,1.15400610453827,1.15595091365323,1.1429302161114,1.11909103277687,1.09528840382819,1.07553524898766,1.05357030023873,1.02919664944804,49.42935,49.96579,50.8172,52.86825,50.96257,50.62575,47.77741,46.18553,50.66434,45.98906
14,BRB,15540,15040,15730,15660,15630,15760,15940,16090,16610,17130,0.363612230788636,0.302945811200443,0.250933189719929,0.20986218775708,0.186604261703996,0.176093438142998,0.164937660504219,0.150692216122692,0.143488326481972,0.132831081778268,9.1456,9.04454,9.60352,9.31516,9.94912,10.52567,10.34492,10.90575,10.35542,9.78987
