,Country Code,"GNI per capita, Atlas method (current US$)","Labor force, female (% of total labor force)","Life expectancy at birth, total (years)",Population growth (annual %),"Population, total",Poverty headcount ratio at national poverty line (% of population),"Public spending on education, total (% of GDP)",Rural population (% of total population),"School enrollment, primary (% net)",Urban population (% of total population),2010 Total:,2011 Total:,2012 Total:,2013 Total:,2014 Total:,2015 Total:,2016 Total:,2017 Total:,2018 Total:,2019 Total:
28,CAF,490,45.38519473488128,52.805,1.5191174668345,4666375,..,1.56587600708008,58.636,..,41.364,27.86686,28.59072,27.84438,26.61987,27.61422,29.06455,29.15016,27.93652,28.25056,27.19802
29,CAN,45080,47.501167593926965,82.04878048780488,1.41245586917998,37065084,..,..,18.589,..,81.411,7.76265,7.8737,7.70689,7.40761,7.29134,7.15364,6.30748,6.89968,7.09267,6.38944
30,CHE,83280,46.59195241163804,83.75365853658538,0.736633975172522,8514329,16,4.86325979232788,26.203000000000003,..,73.797,12.7588,13.00391,11.73932,11.383,10.50995,10.81907,9.98995,9.88915,10.01045,8.96682
31,CHL,14580,42.13605929900436,80.042,1.39106423293431,18729166,..,5.43316984176636,12.436000000000007,..,87.564,22.25415,22.50082,22.0063,23.82929,23.14193,24.15233,23.74832,22.69373,21.46726,20.48648
32,CHN,9540,44.702781867327964,76.704,0.467672053461959,1402760000,1.7,3.54249000549316,40.848,..,59.152,47.18253,51.9203,53.43098,64.92525,55.40258,51.76256,47.61291,46.89996,40.54193,38.153
33,CIV,2180,40.75011418173315,57.422,2.55232234123969,25069226,39.5,3.23993992805481,49.221,90.32837,50.779,39.44081,40.74937,41.18663,39.4543,39.55348,43.7615,42.70035,42.12337,41.80919,40.41493
34,CMR,1490,46.8006607764314,58.921,2.61228416133822,25216261,..,3.03096008300781,43.626,..,56.374,53.5823,54.40143,55.42413,53.04467,53.82225,59.08734,59.19735,59.29862,57.80493,56.36692
35,COD,500,47.88220849676159,60.368,3.22669886135312,84068092,..,..,55.54,..,44.46,31.83993,31.62003,32.14339,32.08453,31.46924,32.20523,32.98959,31.32414,31.46394,31.57858
36,COG,1790,49.6510817646761,64.29,2.58172086705774,5244363,..,2.99548006057739,33.084,..,66.916,30.35857,30.49804,29.84971,29.90465,28.64988,28.98937,30.03266,28.76763,29.26944,29.48397
37,COL,6270,42.96651069340891,77.109,1.52423594388212,49661056,..,4.44910001754761,19.221999999999994,92.91999,80.778,17.41506,17.84735,17.18047,18.07776,17.21034,17.3316,16.90482,15.90059,14.72127,14.03552
38,COM,1370,37.14025140844438,64.118,2.23941634435226,832322,..,..,71.035,80.75383,28.965,13.735,13.8865,14.16312,14.0733,14.24112,14.53778,14.15413,14.29056,14.41939,14.3724
39,CPV,3400,43.81061968340337,72.782,1.15884296629081,543764,..,5.36884689331055,34.268,93.42191,65.732,28.17148,31.06129,31.92126,30.71544,30.11248,33.37649,31.82663,32.59455,31.19557,31.08072
40,CRI,11970,38.83964017507506,80.095,0.994802059847413,4999443,22.9,6.76991987228394,20.659999999999997,97.33255,79.34,18.34723,19.17703,18.51075,19.14176,18.0355,18.31777,17.8607,17.0471,15.59229,14.69544
41,CUB,8630,38.15411590775022,78.726,-0.0097806622626974,11338146,..,..,22.962999999999994,97.73994,77.037,13.32336,12.77719,13.71305,13.2396,13.71356,14.16391,14.4658,14.76059,14.28114,13.31979
42,CYP,27330,46.09945961001883,80.828,0.80854929846874,1189262,14.7,..,33.19,..,66.81,18.5258,17.56798,16.22805,16.11813,14.88171,15.12686,13.67356,14.60062,15.38302,14.51621
43,CZE,20560,44.62971690431109,79.02926829268293,0.334427262299794,10629928,10.1,4.26692008972168,26.208,..,73.792,20.24895,20.80231,18.80054,18.07482,18.27818,17.5159,16.62194,16.99135,17.50349,14.34125
44,DEU,47470,46.590849844537516,80.89268292682927,0.300526701992065,82905782,..,4.97576999664307,22.688000000000002,..,77.312,15.05866,15.41786,13.75633,13.26872,12.47156,12.64463,11.65641,11.77804,11.69647,10.73096
45,DJI,2910,26.07778959337467,66.582,1.55786869505917,958923,..,3.62773990631104,22.223,61.80335,77.777,20.58046,20.825,21.15661,20.71166,20.00309,20.38808,20.4687,20.89987,20.38832,19.98484
46,DMA,7800,..,..,0.23202839477624,71626,..,5.57154989242554,29.516999999999996,..,70.483,7.86285,7.69866,8.1195,7.8932,8.35549,8.8134,8.8778,9.23309,8.74675,8.22238
47,DNK,61260,47.10552806140865,80.95365853658537,0.495838925879129,5793636,..,6.79277992248535,12.126000000000005,..,87.874,12.26529,12.98285,11.44257,10.96574,10.39104,10.72585,9.77846,9.96918,10.01519,9.65653
48,DOM,7780,39.69937354292953,73.892,1.07886200909288,10627147,22.8,3.92848992347717,18.926000000000002,92.71356,81.074,7.52421,7.04065,7.461,7.21616,7.69651,7.87327,8.01817,8.32237,8.00486,7.58534
49,DZA,3980,19.84998388166098,76.693,2.00739866314238,42228415,..,5.8663501739502,27.370999999999995,97.63517,72.629,21.27312,21.55503,22.75584,21.19187,22.63854,22.49486,23.05572,23.32959,22.72761,22.68313
50,ECU,6090,41.167292976919065,76.8,1.76565269522798,17084359,23.2,4.6214599609375,36.179,90.94167,63.821,17.47493,17.10048,17.73954,18.12336,18.55831,17.72879,17.16539,15.83787,16.3823,16.54855
51,EGY,2790,21.302573421834815,71.825,2.0332723991851,98423602,..,..,57.296,97.03257,42.704,60.83491,59.31687,60.50464,61.92892,62.02213,61.56171,61.96814,62.04866,62.19745,63.15743
52,ERI,..,46.161192951196035,65.941,1.1624015499457,3452797,..,..,59.92,51.45515,40.08,22.41942,22.7158,22.69251,22.20768,21.30527,22.33113,22.30357,23.55812,22.98061,22.74486
53,ESP,29310,46.44384953909968,83.43170731707319,0.437982993728698,46797754,20.7,4.18157005310059,19.679000000000002,..,80.321,12.71701,13.08877,11.8292,11.21636,10.30841,11.11022,10.03888,10.20704,10.07741,9.3416
54,EST,21200,48.28523719208121,78.2439024390244,0.348039137980543,1321977,21.7,5.2632098197937,31.120000000000005,..,68.88,8.46857,7.65399,7.37921,7.63221,7.84577,6.74558,6.19576,5.89878,6.70458,6.35007
55,ETH,800,46.6329319004117,66.24,2.61996917105787,109224410,..,5.06867980957031,79.237,..,20.763,22.26304,22.38095,22.08561,22.07112,21.94154,22.11803,22.17223,22.2304,22.23241,21.80471
56,FIN,48220,48.02114858572925,81.73414634146343,0.132641040791912,5515525,11.6,6.27542018890381,14.617999999999995,..,85.382,7.06676,7.03235,6.32824,6.19898,5.77196,5.82623,5.39254,5.37331,5.57078,5.46669
